Timestamp,Temp_C,Poli_bar,Vbat_V,Brake,Dplus,RPM,Speed_kmh,Odo_km,PTrans_bar,TTrans_C,Cnt_Empty,Cnt_Loaded,HourMeter,Uptime_s,Alarm_Temp,Alarm_Poli,Alarm_Vbat
2026-05-18 15:16:05,0,0,0,0,0,0,0,0,0,0,0,0,8.8,414,0,1,1
2026-05-18 15:16:10,0,0,0,0,0,0,0,0,0,0,0,0,8.8,420,0,1,1
2026-05-18 15:16:22,0,0,0,0,0,0,0,0,0,0,0,0,8.8,430,0,1,1
2026-05-18 15:16:35,0,0,0,0,0,0,0,0,0,0,0,0,8.8,442,0,1,1
2026-05-18 15:16:47,0,0,0,0,0,0,0,0,0,0,0,0,8.8,456,0,1,1
2026-05-18 15:16:59,0,0,0,0,0,0,0,0,0,0,0,0,8.8,468,0,1,1
2026-05-18 15:17:10,0,0,0,0,0,0,0,0,0,0,0,0,8.8,479,0,1,1
2026-05-18 15:17:15,0,0,0,0,0,0,0,0,0,0,0,0,8.8,484,0,1,1
2026-05-18 15:17:26,0,0,0,0,0,0,0,0,0,0,0,0,8.8,495,0,1,1
2026-05-18 15:17:31,0,0,0,0,0,0,0,0,0,0,0,0,8.8,500,0,1,1
2026-05-18 15:17:37,0,0,0,0,0,0,0,0,0,0,0,0,8.8,505,0,1,1
2026-05-18 15:17:47,0,0,0,0,0,0,0,0,0,0,0,0,8.8,516,0,1,1
2026-05-18 15:18:00,0,0,0,0,0,0,0,0,0,0,0,0,8.8,529,0,1,1
2026-05-18 15:18:11,0,0,0,0,0,0,0,0,0,0,0,0,8.8,540,0,1,1
2026-05-18 15:18:21,0,0,0,0,0,0,0,0,0,0,0,0,8.9,550,0,1,1
2026-05-18 15:18:33,0,0,0,0,0,0,0,0,0,0,0,0,8.9,562,0,1,1
2026-05-18 15:18:45,0,0,0,0,0,0,0,0,0,0,0,0,8.9,573,0,1,1
2026-05-18 15:18:56,0,0,0,0,0,0,0,0,0,0,0,0,8.9,585,0,1,1
2026-05-18 15:19:07,0,0,0,0,0,0,0,0,0,0,0,0,8.9,595,0,1,1
2026-05-18 15:19:21,0,0,0,0,0,0,0,0,0,0,0,0,8.9,610,0,1,1
2026-05-18 15:19:32,0,0,0,0,0,0,0,0,0,0,0,0,8.9,621,0,1,1
2026-05-18 15:19:44,0,0,0,0,0,0,0,0,0,0,0,0,8.9,632,0,1,1
2026-05-18 15:19:56,0,0,0,0,0,0,0,0,0,0,0,0,8.9,644,0,1,1
2026-05-18 15:20:08,0,0,0,0,0,0,0,0,0,0,0,0,8.9,656,0,1,1
2026-05-18 15:20:19,0,0,0,0,0,0,0,0,0,0,0,0,8.9,667,0,1,1
2026-05-18 15:20:31,0,0,0,0,0,0,0,0,0,0,0,0,8.9,680,0,1,1
2026-05-18 15:20:51,0,0,0,0,0,0,0,0,0,0,0,0,8.9,691,0,1,1
2026-05-18 15:21:02,0,0,0,0,0,0,0,0,0,0,0,0,8.9,711,0,1,1
2026-05-18 15:21:12,0,0,0,0,0,0,0,0,0,0,0,0,8.9,721,0,1,1
2026-05-18 15:21:23,0,0,0,0,0,0,0,0,0,0,0,0,8.9,732,0,1,1
2026-05-18 15:21:33,0,0,0,0,0,0,0,0,0,0,0,0,8.9,743,0,1,1
2026-05-18 15:21:40,0,0,0,0,0,0,0,0,0,0,0,0,8.9,748,0,1,1
2026-05-18 15:21:50,0,0,0,0,0,0,0,0,0,0,0,0,8.9,759,0,1,1
2026-05-18 15:22:00,0,0,0,0,0,0,0,0,0,0,0,0,8.9,770,0,1,1
2026-05-18 15:22:11,0,0,0,0,0,0,0,0,0,0,0,0,8.9,780,0,1,1
2026-05-18 15:22:22,0,0,0,0,0,0,0,0,0,0,0,0,8.9,791,0,1,1
2026-05-18 15:22:32,0,0,0,0,0,0,0,0,0,0,0,0,8.9,801,0,1,1
2026-05-18 15:22:42,0,0,0,0,0,0,0,0,0,0,0,0,8.9,811,0,1,1
2026-05-18 15:23:04,0,0,0,0,0,0,0,0,0,0,0,0,8.9,832,0,1,1
2026-05-18 15:23:14,0,0,0,0,0,0,0,0,0,0,0,0,8.9,843,0,1,1
2026-05-18 15:23:25,0,0,0,0,0,0,0,0,0,0,0,0,8.9,854,0,1,1
2026-05-18 15:23:30,0,0,0,0,0,0,0,0,0,0,0,0,8.9,859,0,1,1
2026-05-18 15:23:43,0,0,0,0,0,0,0,0,0,0,0,0,8.9,870,0,1,1
2026-05-18 15:24:02,0,0,0,0,0,0,0,0,0,0,0,0,8.9,887,0,1,1
2026-05-18 15:24:17,0,0,0,0,0,0,0,0,0,0,0,0,9.0,902,0,1,1
